full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
huangserva/claude-code-cli,621,621,1307,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3881,3881,566,0,0,0,https://github.com/OneRedOak/claude-code-workflows
FlorianBruniaux/claude-code-ultimate-guide,5613,5613,738,13,13,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
nicedreamzapp/claude-code-local,3009,3009,574,2,2,0,https://github.com/nicedreamzapp/claude-code-local
anthropics/claude-code-security-review,5700,5700,610,14,14,1,https://github.com/anthropics/claude-code-security-review
rohitg00/awesome-claude-code-toolkit,2416,2416,857,2,2,1,https://github.com/rohitg00/awesome-claude-code-toolkit
zebbern/claude-code-guide,4447,4447,447,1,1,0,https://github.com/zebbern/claude-code-guide
1rgs/claude-code-proxy,3709,3709,489,-1,-1,1,https://github.com/1rgs/claude-code-proxy
lorryjovens-hub/claude-code-rust,1664,1664,640,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
zstmfhy/Claude-code,190,190,284,0,0,0,https://github.com/zstmfhy/Claude-code
disler/claude-code-hooks-mastery,3858,3858,634,2,2,1,https://github.com/disler/claude-code-hooks-mastery
Windy3f3f3f3f/how-claude-code-works,3329,3329,684,11,11,1,https://github.com/Windy3f3f3f3f/how-claude-code-works
alejandrobalderas/claude-code-from-source,2736,2736,746,1,1,1,https://github.com/alejandrobalderas/claude-code-from-source
Maciek-roboblog/Claude-Code-Usage-Monitor,8543,8543,442,0,0,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
777genius/claude-code-source-code,923,923,1090,0,0,0,https://github.com/777genius/claude-code-source-code
ding113/claude-code-hub,3276,3276,377,2,2,-1,https://github.com/ding113/claude-code-hub
fuergaosi233/claude-code-proxy,2753,2753,414,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2742,2742,401,1,1,0,https://github.com/RichardAtCT/claude-code-telegram
fazxes/Claude-code,227,227,215,1,1,0,https://github.com/fazxes/Claude-code
asgeirtj/system_prompts_leaks,61434,61434,10045,90,90,19,https://github.com/asgeirtj/system_prompts_leaks
Yuyz0112/claude-code-reverse,2408,2408,409,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
kodu-ai/claude-coder,5252,5252,198,0,0,0,https://github.com/kodu-ai/claude-coder
SeemSeam/claude_codex_bridge,3338,3338,324,3,3,0,https://github.com/SeemSeam/claude_codex_bridge
Windy3f3f3f3f/claude-code-from-scratch,2488,2488,516,2,2,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
Cranot/claude-code-guide,2856,2856,320,0,0,0,https://github.com/Cranot/claude-code-guide
luyao618/Claude-Code-Source-Study,1642,1642,564,1,1,1,https://github.com/luyao618/Claude-Code-Source-Study
Chachamaru127/claude-code-harness,3031,3031,293,3,3,0,https://github.com/Chachamaru127/claude-code-harness
multica-ai/andrej-karpathy-skills,197826,197826,20346,188,188,22,https://github.com/multica-ai/andrej-karpathy-skills
repowise-dev/claude-code-prompts,1177,1177,388,0,0,0,https://github.com/repowise-dev/claude-code-prompts
affaan-m/ECC,236002,236002,35899,441,441,26,https://github.com/affaan-m/ECC
https-deeplearning-ai/sc-claude-code-files,537,537,822,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
AprilNEA/claude-code-source,392,392,608,0,0,0,https://github.com/AprilNEA/claude-code-source
anthropics/claude-code-base-action,930,930,611,2,2,1,https://github.com/anthropics/claude-code-base-action
huangjia2019/claude-code-engineering,1030,1030,368,1,1,0,https://github.com/huangjia2019/claude-code-engineering
anthropics/skills,165191,165191,19630,139,139,20,https://github.com/anthropics/skills
guanshan/ClaudeCode,61,61,212,0,0,0,https://github.com/guanshan/ClaudeCode
jqueryscript/awesome-claude-code,483,483,488,0,0,-1,https://github.com/jqueryscript/awesome-claude-code
JrCx7scC/claude-code-source,371,371,546,0,0,0,https://github.com/JrCx7scC/claude-code-source
edmund-io/edmunds-claude-code,1492,1492,282,0,0,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3805,3805,265,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
Yeachan-Heo/oh-my-claudecode,38192,38192,3440,21,21,1,https://github.com/Yeachan-Heo/oh-my-claudecode
disler/pi-vs-claude-code,1553,1553,367,1,1,0,https://github.com/disler/pi-vs-claude-code
krusemediallc/arcads-claude-code,1056,1056,286,1,1,1,https://github.com/krusemediallc/arcads-claude-code
feiskyer/claude-code-settings,1611,1611,243,0,0,0,https://github.com/feiskyer/claude-code-settings
VILA-Lab/Dive-into-Claude-Code,2007,2007,311,0,0,1,https://github.com/VILA-Lab/Dive-into-Claude-Code
AICoderTudou/claude-code-tudou,497,497,396,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
andrew-kramer-inno/claude-code-source-build,593,593,518,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
digitalsamba/claude-code-video-toolkit,1868,1868,309,4,4,1,https://github.com/digitalsamba/claude-code-video-toolkit
OrcaWhisper/Claude-Code,87,87,169,0,0,0,https://github.com/OrcaWhisper/Claude-Code
jeremylongshore/claude-code-plugins-plus-skills,2576,2576,369,4,4,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
darcyegb/ClaudeCodeAgents,751,751,69,2,2,0,https://github.com/darcyegb/ClaudeCodeAgents
KPR111/Claude-Code,18,18,325,0,0,0,https://github.com/KPR111/Claude-Code
xu-xiang/everything-claude-code-zh,1785,1785,300,3,3,2,https://github.com/xu-xiang/everything-claude-code-zh
centminmod/my-claude-code-setup,2533,2533,238,0,0,0,https://github.com/centminmod/my-claude-code-setup
simonw/claude-code-transcripts,1645,1645,196,1,1,0,https://github.com/simonw/claude-code-transcripts
Njengah/claude-code-cheat-sheet,1888,1888,254,1,1,0,https://github.com/Njengah/claude-code-cheat-sheet
daymade/claude-code-skills,1304,1304,210,3,3,0,https://github.com/daymade/claude-code-skills
ccplugins/awesome-claude-code-plugins,894,894,341,894,894,341,https://github.com/ccplugins/awesome-claude-code-plugins
